Items,densite,melt,COULEUR,I_CM,I_G,I_F
HMW,0.944,0.07,MIX,EXT,X,RP
HMW,0.942,0.08,MIX,EXT,X,RP
HMW,0.947,0.07,MIX,EXT,X,RP
HDPE,0.958,0.29,MIX,EXT,X,RP
HMW,0.942,0.06,MIX,EXT,X,RP
HDPE,0.956,0.24,MIX,EXT,X,RP
HDPE,0.957,0.24,MIX,EXT,X,RP
HMW,0.944,0.06,MIX,EXT,X,RP
HDPE,0.962,1.0,MIX,EXT,X,RP
HDPE,0.962,0.45,MIX,EXT,X,RP
HDPE,0.975,0.37,MIX,EXT,X,RP
HDPE,0.962,0.72,MIX,EXT,X,RP
HDPE,0.975,7.0,GREY,INJ,X,RP
HDPE,0.975,8.2,GREY,INJ,X,RP
HDPE,0.975,7.0,MIX,INJ,X,RP
HMW,0.942,0.07,MIX,EXT,X,RP
HMW,0.946,0.07,MIX,EXT,X,RP
HMW,0.946,0.08,MIX,EXT,X,RP
HMW,0.938,0.11,MIX,EXT,X,RP
HMW,0.945,0.06,MIX,EXT,X,RP
HDPE,0.973,7.9,GREY,INJ,X,RP
HDPE,0.975,7.9,GREY,INJ,X,RP
HDPE,0.975,4.0,GREY,INJ,X,RP
HDPE,0.954,0.07,MIX,EXT,X,RG
LDPE,0.975,1.6,MIX,X,X,RP
HDPE,0.975,7.2,GREY,INJ,X,RP
HDPE,0.975,7.7,GREY,INJ,X,RP
HDPE,0.975,7.4,GREY,INJ,X,RP
HDPE,0.975,7.6,GREY,INJ,X,RP
HDPE,0.975,7.3,GREY,INJ,X,RP
HDPE,0.975,5.2,GREY,INJ,X,RP
HDPE,0.975,7.1,GREY,INJ,X,RP
HDPE,0.975,7.5,GREY,INJ,X,RP
HDPE,0.975,0.39,MIX,EXT,X,RP
HDPE,0.975,6.8,GREY,INJ,X,RP
HDPE,0.975,6.9,GREY,INJ,X,RP
HDPE,0.958,7.2,BK,INJ,X,RP
HDPE,0.975,7.0,BK,INJ,X,RP
HDPE,0.96,4.9,BK,INJ,X,RP
HDPE,0.952,8.1,BK,INJ,X,RP
LDPE,0.948,5.3,NAT,X,X,WS
LDPE,0.925,4.9,NAT,X,X,WS
MDPE,0.948,2.9,MIX,INJ,X,RG
HDPE,0.965,7.7,MIX,INJ,X,RG
HDPE,0.975,7.3,BK,INJ,X,RP
HDPE,0.952,0.4,MIX,EXT,X,RG
HDPE,0.956,0.48,MIX,EXT,X,RG
HDPE,0.958,5.2,MIX,INJ,X,RG
HDPE,0.925,0.91,MIX,EXT,X,RG
HDPE,0.954,0.41,MIX,EXT,X,RG
LDPE,0.947,0.88,WH,X,X,RG
LDPE,0.947,0.88,WH,EXT,CH,RG
LDPE,0.975,0.94,MIX,X,X,RG
LDPE,0.954,0.87,BK,X,X,RG
HDPE,0.975,0.35,MIX,EXT,X,RG
HDPE,0.958,0.46,BK,EXT,X,RG
HDPE,0.973,0.35,WH,EXT,X,RG
HDPE,0.969,0.4,MIX,EXT,X,RG
HDPE,0.973,0.37,WH,EXT,X,RG
HDPE,0.952,0.24,MIX,EXT,X,RG
LDPE,0.925,2.5,MIX,OFF,E,RG
HDPE,0.949,0.72,MIX,EXT,X,RG
HDPE,0.962,0.96,MIX,EXT,X,RG
HDPE,0.952,1.2,MIX,OFF,X,RG
HDPE,0.958,0.21,MIX,EXT,X,RG
LDPE,0.92,0.72,MIX,X,X,C
LDPE,0.92,0.97,NAT,X,X,C
PE/PP,0.945,4.3,MIX,X,X,RP
HDPE,0.54,0.22,BE,EXT,X,RP
HDPE,0.975,0.84,MIX,EXT,X,RP
MDPE,0.932,4.7,MIX,INJ,X,RG
HDPE,0.949,4.4,MIX,INJ,X,RP
LDPE,0.934,1.4,MIX,X,X,RP
HDPE,0.965,0.58,MIX,EXT,X,RP
HDPE,0.969,0.8,MIX,EXT,X,RP
HDPE,0.958,1.02,MIX,EXT,X,RP
HDPE,0.965,0.96,MIX,EXT,X,RP
HDPE,0.973,0.63,MIX,EXT,X,RP
HDPE,0.965,0.77,MIX,EXT,X,RP
HDPE,0.958,0.55,MIX,EXT,X,RP
MDPE,0.935,4.6,YEL,INJ,X,RG
HDPE,0.965,0.81,MIX,EXT,X,RP
HDPE,0.969,1.0,MIX,EXT,X,RP
HDPE,0.954,6.8,MIX,INJ,X,RG
HDPE,0.92,5.0,MIX,INJ,X,RG
HDPE,0.965,6.8,BK,INJ,X,RP
ADDITIFS,0.975,8.0,BE,INJ,CH,RP
HDPE,0.956,5.4,BK,INJ,X,RP
HDPE,0.947,4.1,BK,INJ,X,RP
HDPE,0.958,5.4,BK,INJ,X,RP
HDPE,0.956,5.4,BK,INJ,2.0,RP
HDPE,0.952,4.7,BK,INJ,X,RP
HDPE,0.965,0.35,MIX,EXT,X,RP
HDPE,0.965,0.27,MIX,EXT,X,RP
HDPE,0.965,0.22,MIX,EXT,X,RP
MDPE,0.955,8.1,MIX,INJ,X,RG
TPO,0.975,0.4,MIX,EXT,CH,RG
HDPE,0.955,0.41,MIX,EXT,X,RG
HDPE,0.975,0.38,MIX,EXT,X,RG
HDPE,0.965,0.87,MIX,EXT,X,RG
HDPE,0.963,0.4,MIX,EXT,X,RG
HDPE,0.952,0.72,MIX,EXT,X,RG
HDPE,0.954,0.19,MIX,EXT,E,RG
HMW,0.949,0.08,MIX,EXT,X,RG
HDPE,0.954,0.45,MIX,EXT,X,RG
HDPE,0.975,0.68,MIX,EXT,CH,RG
HDPE,0.975,0.2,MIX,EXT,X,RG
HDPE,0.958,0.49,MIX,EXT,X,RG
HDPE,0.942,0.88,MIX,EXT,X,RG
HDPE,0.942,0.52,MIX,EXT,1.0,RG
HDPE,0.92,1.7,MIX,OFF,X,RG
HDPE,0.975,0.69,MIX,EXT,CH,RG
HDPE,0.956,0.33,MIX,EXT,X,RG
HDPE,0.962,0.32,MIX,EXT,X,RG
HDPE,0.963,0.13,MIX,EXT,X,RP
HDPE,0.962,0.25,MIX,EXT,X,RP
HDPE,0.956,0.15,MIX,EXT,X,RP
HDPE,0.92,0.29,MIX,EXT,X,RP
LDPE,0.975,2.1,MIX,X,X,RP
HDPE,0.954,4.7,BK,INJ,X,RP
HDPE,0.958,0.19,MIX,EXT,X,RP
HDPE,0.958,0.27,MIX,EXT,X,RP
HDPE,0.956,0.4,MIX,EXT,X,RP
LDPE,0.92,0.77,NAT,X,X,RP
HDPE,0.969,0.92,MIX,EXT,X,RG
HDPE,0.967,0.83,MIX,EXT,X,RG
HDPE,0.965,0.74,MIX,EXT,X,RG
HDPE,0.958,7.5,MIX,INJ,X,RG
HMW,0.975,0.12,YEL,EXT,X,RG
HDPE,0.92,2.5,MIX,OFF,X,RG
ADDITIFS,0.975,5.8,YELI,OFF,CH,RP
HDPE,0.956,18.0,MIX,INJ,X,RG
HDPE,0.96,0.23,MIX,EXT,X,RP
HMW,0.958,0.07,MIX,EXT,X,RP
HMW,0.962,0.08,MIX,EXT,X,RP
LDPE,0.925,22.0,NAT,X,X,WS
HDPE,0.955,1.2,MIX,EXT,X,RP
HDPE,0.965,0.12,MIX,EXT,X,RP
HDPE,0.954,0.16,MIX,EXT,X,RP
HDPE,0.965,1.2,MIX,EXT,X,RP
LDPE,0.925,2.2,YELI,X,X,WS
HDPE,0.958,1.8,MIX,EXT,X,RP
HDPE,0.965,7.3,BK,INJ,X,RP
HDPE,0.969,7.0,BK,INJ,X,RP
HDPE,0.965,6.9,BK,INJ,X,RP
HDPE,0.969,12.0,BK,INJ,X,RP
PE/PP,0.969,6.9,BK,X,X,RP
PE/PP,0.969,5.1,BK,X,X,RP
PE/PP,0.969,5.9,BK,X,X,RP
HDPE,0.95,0.19,MIX,EXT,X,RP
HDPE,0.932,5.5,MIX,INJ,X,RG
HDPE,0.973,4.1,MIX,OFF,X,RG
HDPE,0.942,8.2,BK,INJ,X,RP
HDPE,0.956,7.0,MIX,INJ,X,RP
PE/PP,0.942,14.0,MIX,X,X,RP
HDPE,0.954,17.0,MIX,INJ,X,RG
HDPE,0.962,6.6,BK,INJ,X,RG
HDPE,0.953,6.3,MIX,INJ,X,RG
HDPE,0.946,17.0,MIX,INJ,X,RG
PE/PP,0.969,5.2,BK,X,X,RP
PE/PP,0.969,7.0,BK,X,X,RP
HDPE,0.965,5.4,BK,INJ,X,RG
HDPE,0.958,0.43,MIX,EXT,X,RG
HDPE,0.965,0.45,MIX,EXT,X,RG
HDPE,0.962,6.9,MIX,INJ,X,RG
HDPE,0.965,0.38,MIX,EXT,X,RG
HDPE,0.949,1.9,MIX,OFF,X,RG
HDPE,0.947,0.43,MIX,EXT,X,RG
HDPE,0.968,0.27,MIX,EXT,X,RP
LDPE,0.925,1.2,MIX,X,X,RP
LDPE,0.925,26.0,YELI,X,X,RP
META,0.92,0.62,MIX,EXT,X,RP
LDPE,0.93,1.8,MIX,X,X,RP
LDPE,0.952,0.86,MIX,X,X,RP
HDPE,0.958,0.41,MIX,EXT,X,RG
HDPE,0.954,0.22,MIX,EXT,X,RG
HDPE,0.949,0.16,MIX,EXT,X,RG
HDPE,0.92,0.15,MIX,EXT,X,RG
HDPE,0.975,0.25,MIX,EXT,X,RG
HDPE,0.954,0.24,MIX,EXT,X,RG
HDPE,0.956,0.3,MIX,EXT,X,RG
HDPE,0.975,0.39,MIX,EXT,X,RG
HDPE,0.952,0.15,MIX,EXT,X,RG
HDPE,0.956,0.3,BK,EXT,X,RG
LDPE,0.925,1.3,MIX,EXT,X,RG
HDPE,0.952,0.11,MIX,EXT,X,RG
HDPE,0.952,0.23,MIX,EXT,X,RG
HDPE,0.932,0.38,BK,EXT,X,RG
HMW,0.966,10.0,MIX,EXT,X,RG
META,0.92,0.62,MIX,EXT,1.0,RP
LDPE,0.92,1.8,MIX,X,X,RP
LDPE,0.932,1.9,MIX,X,X,RP
HDPE,0.962,0.8,NAT,EXT,X,RG
LDPE,0.938,1.6,MIX,X,X,RP
HDPE,0.95,0.17,MIX,EXT,X,RP
HDPE,0.96,0.11,MIX,EXT,X,RP
HDPE,0.942,0.09,MIX,EXT,X,RP
HDPE,0.96,0.08,MIX,EXT,X,RP
HDPE,0.96,0.27,MIX,EXT,X,RP
MDPE,0.937,3.1,MIX,INJ,X,RG
HDPE,0.942,0.2,YEL,EXT,X,RG
HDPE,0.965,6.0,BK,INJ,X,RP
HDPE,0.962,6.4,BK,INJ,X,RP
HDPE,0.962,6.3,BK,INJ,X,RP
HDPE,0.96,0.49,MIX,EXT,X,RP
HDPE,0.949,0.32,MIX,EXT,X,RP
HDPE,0.962,0.21,MIX,EXT,X,RP
HDPE,0.952,0.27,MIX,EXT,X,RP
HDPE,0.953,0.46,MIX,OFF,X,RG
HDPE,0.952,1.1,MIX,OFF,X,RG
HDPE,0.954,2.3,MIX,OFF,X,RG
HDPE,0.952,6.0,MIX,INJ,X,RG
HDPE,0.956,5.9,MIX,INJ,X,RG
HDPE,0.956,11.0,MIX,INJ,X,RG
HDPE,0.952,11.0,MIX,INJ,X,RG
HDPE,0.956,12.0,MIX,INJ,X,RG
HDPE,0.954,5.5,MIX,INJ,X,RG
HDPE,0.956,16.0,MIX,INJ,X,RG
HDPE,0.947,14.0,MIX,INJ,X,RG
HDPE,0.973,0.33,MIX,EXT,X,RP
HDPE,0.971,0.28,MIX,EXT,X,RP
HDPE,0.965,0.24,MIX,EXT,X,RP
HDPE,0.962,0.5,MIX,EXT,X,RG
HDPE,0.953,9.4,MIX,INJ,X,RG
HDPE,0.957,11.0,MIX,INJ,X,RG
HMW,0.947,11.0,MIX,EXT,X,RG
LDPE,0.927,10.0,MIX,X,X,RP
LDPE,0.927,11.0,MIX,X,X,RP
LDPE,0.927,13.0,MIX,X,X,RP
LDPE,0.927,12.0,MIX,X,X,RP
HDPE,0.956,8.8,GREY,INJ,X,RP
HDPE,0.952,9.0,GREY,INJ,X,RP
HDPE,0.957,0.8,MIX,EXT,X,RP
HDPE,0.957,6.1,BK,INJ,X,RP
HDPE,0.957,6.2,BK,INJ,X,RP
HDPE,0.975,0.55,BK,EXT,X,RG
HDPE,0.952,0.09,MIX,EXT,X,RG
HDPE,0.97,0.42,MIX,EXT,X,RG
HDPE,0.947,0.66,MIX,EXT,X,RG
HDPE,0.962,0.79,MIX,EXT,X,RG
HDPE,0.958,0.07,MIX,EXT,X,RG
LDPE,0.925,1.6,MIX,X,X,RG
HDPE,0.942,0.76,MIX,EXT,X,RG
HDPE,0.947,0.6,MIX,EXT,X,RG
LDPE,0.92,1.7,MIX,X,X,RG
HDPE,0.949,0.42,MIX,EXT,X,RG
LDPE,0.925,1.4,MIX,X,X,RG
LDPE,0.925,2.0,MIX,X,X,RG
HDPE,0.975,0.68,MIX,EXT,X,RG
HMW,0.925,6.0,MIX,EXT,X,RG
HDPE,0.948,0.06,BK,EXT,X,RG
HDPE,0.938,0.94,MIX,EXT,X,RG
HDPE,0.956,0.09,MIX,EXT,X,RG
LDPE,0.927,9.8,MIX,X,X,RP
LDPE,0.927,9.7,MIX,X,X,RP
HDPE,0.975,3.6,BK,INJ,X,RP
HDPE,0.938,4.4,BK,INJ,X,RP
HDPE,0.952,4.6,BK,INJ,X,RP
HDPE,0.957,4.3,BK,INJ,X,RP
HDPE,0.963,6.9,BK,INJ,X,RP
LDPE,0.942,0.78,MIX,X,X,RP
HDPE,0.958,0.35,MIX,EXT,X,RG
PE/PP,0.92,1.9,MIX,X,X,RP
HDPE,0.938,8.4,MIX,INJ,X,RG
HDPE,0.956,0.42,MIX,EXT,X,RP
HDPE,0.956,0.95,MIX,EXT,X,RP
HDPE,0.956,0.76,MIX,EXT,X,RP
HDPE,0.956,0.8,MIX,EXT,X,RP
HDPE,0.956,0.3,MIX,EXT,X,RP
HDPE,0.956,0.26,MIX,EXT,X,RP
HDPE,0.956,0.27,MIX,EXT,X,RP
HDPE,0.956,0.34,MIX,EXT,X,RP
HDPE,0.956,0.23,MIX,EXT,X,RP
HDPE,0.931,5.1,MIX,INJ,X,RG
HDPE,0.956,0.2,MIX,EXT,X,RP
HDPE,0.963,0.32,MIX,EXT,X,RP
HDPE,0.96,5.9,BK,INJ,X,RP
HDPE,0.958,4.8,BK,INJ,X,RP
HDPE,0.958,6.1,BK,INJ,X,RP
LDPE,0.975,7.1,MIX,X,X,RP
LDPE,0.975,6.6,MIX,X,X,RP
LDPE,0.975,9.9,MIX,X,X,RP
HDPE,0.962,3.6,BK,INJ,X,RG
HDPE,0.958,4.5,MIX,INJ,X,RG
HDPE,0.954,5.2,MIX,INJ,X,RG
HDPE,0.956,5.2,MIX,INJ,X,RG
HDPE,0.942,2.0,MIX,INJ,X,RG
HDPE,0.92,6.3,MIX,INJ,X,RG
HDPE,0.954,10.0,MIX,INJ,X,RG
HDPE,0.933,3.1,BK,INJ,X,RP
HDPE,0.938,3.5,BK,INJ,X,RP
MDPE,0.935,5.8,MIX,X,X,RP
HDPE,0.954,8.1,BK,INJ,X,RP
HDPE,0.954,7.6,BK,INJ,X,RP
HDPE,0.954,7.1,BK,INJ,X,RP
HDPE,0.954,7.2,BK,INJ,X,RP
HDPE,0.958,0.27,MIX,EXT,X,RG
HDPE,0.956,0.29,MIX,EXT,X,RG
HDPE,0.92,0.61,BK,EXT,X,RG
HDPE,0.969,0.41,MIX,EXT,X,RG
LDPE,0.952,5.0,MIX,INJ,E,RP
HDPE,0.965,15.0,WH,INJ,X,RG
HDPE,0.962,7.5,BK,INJ,X,RP
HDPE,0.958,6.0,BK,INJ,X,RP
HDPE,0.92,3.4,BK,INJ,X,RP
HDPE,0.962,8.2,BK,INJ,X,RP
HDPE,0.965,7.8,BK,INJ,X,RP
HDPE,0.958,5.1,BK,INJ,X,RP
HDPE,0.958,5.3,BK,INJ,X,RP
HDPE,0.958,5.0,BK,INJ,X,RP
LDPE,0.925,3.1,MIX,X,X,RG
PE/PP,0.942,36.0,NAT,X,X,WS
LDPE,0.925,25.0,NAT,X,X,WS
LDPE,0.92,1.0,NAT,X,X,WS
HDPE,0.952,8.0,NAT,INJ,X,WS
LDPE,0.925,1.8,NAT,X,X,WS
META,0.92,0.61,MIX,X,X,RP
META,0.92,0.59,MIX,X,X,RP
META,0.92,0.55,MIX,X,X,RP
HMW,0.957,0.08,MIX,EXT,X,RG
HMW,0.956,0.08,MIX,EXT,X,RG
HDPE,0.954,1.4,MIX,OFF,X,RG
HDPE,0.975,0.34,MIX,EXT,X,RG
HDPE,0.954,4.5,MIX,INJ,X,RG
HMW,0.958,0.08,MIX,EXT,X,RG
HDPE,0.954,0.89,MIX,EXT,X,RG
LDPE,0.932,2.2,NAT,X,X,WS
LDPE,0.925,2.2,NAT,X,X,WS
LDPE,0.92,13.0,NAT,X,X,WS
LDPE,0.92,14.0,WH,X,X,RP
META,0.92,0.65,MIX,X,X,RP
HDPE,0.961,6.9,MIX,INJ,X,RG
LDPE,0.938,3.4,YELI,X,X,WS
LDPE,0.975,1.1,MIX,X,X,RP
LDPE,0.942,0.84,MIX,X,X,RP
LDPE,0.925,0.52,MIX,X,X,RP
LDPE,0.962,1.0,MIX,X,X,RP
LDPE,0.92,1.9,MIX,X,X,RP
HDPE,0.942,6.7,MIX,INJ,X,RG
HDPE,0.965,4.9,MIX,INJ,X,RG
HDPE,0.958,6.8,MIX,INJ,X,RG
HDPE,0.938,5.7,MIX,INJ,X,RG
LDPE,0.932,1.4,BK,X,X,RG
HDPE,0.962,0.26,MIX,EXT,X,RP
HDPE,0.962,0.28,MIX,EXT,X,RP
HDPE,0.962,0.09,MIX,EXT,X,RP
HDPE,0.952,0.98,MIX,EXT,X,RG
HDPE,0.962,2.8,MIX,INJ,X,RG
HDPE,0.952,0.83,MIX,EXT,X,RG
HDPE,0.973,0.41,MIX,EXT,X,RG
HDPE,0.969,0.43,MIX,EXT,X,RG
HDPE,0.975,0.4,MIX,EXT,X,RG
HDPE,0.963,0.43,MIX,EXT,X,RG
HDPE,0.965,0.49,MIX,EXT,X,RG
MDPE,0.949,5.7,MIX,INJ,X,RG
HDPE,0.962,0.29,MIX,EXT,X,RP
HDPE,0.962,0.33,BK,EXT,X,RP
HDPE,0.961,5.6,BK,INJ,X,RP
HDPE,0.961,6.2,BK,INJ,X,RP
HDPE,0.961,6.1,BK,INJ,X,RP
HDPE,0.962,0.22,MIX,EXT,X,RP
HDPE,0.962,6.8,MIX,INJ,X,RG
LDPE,0.925,4.6,MIX,X,X,RP
META,0.92,1.4,MIX,X,X,RP
META,0.92,1.6,MIX,X,X,RP
META,0.92,1.3,MIX,X,X,RP
LDPE,0.948,2.4,MIX,X,X,RP
HDPE,0.965,0.29,MIX,EXT,X,RG
HDPE,0.956,0.23,MIX,EXT,X,RG
HDPE,0.954,0.26,MIX,EXT,X,RG
HDPE,0.954,0.27,MIX,EXT,X,RG
HDPE,0.956,0.25,MIX,EXT,X,RG
LDPE,0.925,2.2,MIX,X,X,RP
LDPE,0.932,1.2,MIX,X,X,RP
PE/PP,0.952,0.45,MIX,X,X,RG
LDPE,0.975,0.41,MIX,X,X,RP
HDPE,0.958,4.7,MIX,INJ,X,RG
HDPE,0.94,5.2,BLU,INJ,X,RG
MDPE,0.938,4.7,MIX,INJ,X,RG
LDPE,0.975,5.4,MIX,X,X,RP
ADDITIFS,0.975,11.0,NAT,INJ,X,RP
PE/PP,0.975,1.5,MIX,X,X,RP
PE/PP,0.975,2.5,MIX,X,X,RP
LDPE,0.938,7.4,MIX,X,X,RP
HDPE,0.962,0.08,MIX,EXT,X,RP
HDPE,0.961,6.7,BK,INJ,X,RP
HDPE,0.961,1.3,BK,INJ,X,RP
HDPE,0.961,5.1,BK,INJ,X,RP
HDPE,0.962,0.35,MIX,EXT,X,RP
HDPE,0.945,0.3,MIX,EXT,X,RP
HDPE,0.945,0.5,MIX,EXT,X,RP
HDPE,0.962,6.6,BK,INJ,X,RP
LDPE,0.973,1.5,MIX,X,X,RP
LDPE,0.975,2.0,MIX,X,X,RP
LDPE,0.975,2.6,MIX,X,X,RP
LDPE,0.975,2.4,MIX,X,X,RP
HDPE,0.95,0.28,MIX,EXT,X,RP
HDPE,0.958,0.58,MIX,EXT,X,RP
LDPE,0.975,0.41,GREYI,X,X,RP
HDPE,0.962,0.59,MIX,EXT,X,RP
LDPE,0.975,0.77,YELI,X,X,RP
LDPE,0.969,0.95,MIX,X,X,RP
HDPE,0.958,0.5,BK,EXT,X,RP
HDPE,0.975,0.64,MIX,EXT,X,RG
HDPE,0.956,4.7,BK,INJ,X,RP
HDPE,0.952,4.1,BK,INJ,X,RP
MDPE,0.938,4.2,MIX,X,X,RP
MDPE,0.973,3.5,MIX,X,X,RP
MDPE,0.962,4.6,MIX,X,X,RP
LDPE,0.925,4.3,MIX,X,X,RP
MDPE,0.938,2.8,MIX,X,X,RP
MDPE,0.925,5.1,MIX,X,X,RP
MDPE,0.932,4.7,MIX,X,X,RP
MDPE,0.962,4.2,MIX,X,X,RP
MDPE,0.954,6.0,MIX,X,X,RP
MDPE,0.975,6.6,MIX,X,X,RP
HDPE,0.975,0.22,MIX,EXT,X,RG
HDPE,0.92,3.7,BK,INJ,X,RP
HDPE,0.92,4.0,BK,INJ,2.0,RP
HDPE,0.949,3.9,BK,INJ,X,RP
HDPE,0.932,3.5,BK,INJ,X,RP
HDPE,0.93,4.2,BK,INJ,X,RP
HDPE,0.925,4.2,BK,INJ,X,RP
HDPE,0.956,0.14,MIX,EXT,2.0,RG
HDPE,0.962,0.37,MIX,EXT,X,RG
HMW,0.942,5.8,MIX,EXT,X,RG
HMW,0.952,24.0,MIX,EXT,X,RG
HMW,0.958,0.3,MIX,EXT,X,RG
HDPE,0.96,0.29,MIX,EXT,X,RG
HDPE,0.965,0.31,MIX,EXT,X,RG
HDPE,0.958,0.42,MIX,EXT,X,RG
HDPE,0.969,0.46,MIX,EXT,X,RG
HDPE,0.942,0.34,MIX,EXT,X,RG
HMW,0.956,13.0,MIX,EXT,X,RG
HMW,0.962,14.0,MIX,EXT,X,RG
HDPE,0.956,0.4,MIX,EXT,X,RG
HDPE,0.95,4.1,BK,INJ,X,RP
HDPE,0.942,3.4,BK,INJ,X,RP
HDPE,0.946,3.5,BK,INJ,X,RP
HDPE,0.938,3.2,BK,INJ,X,RP
HDPE,0.937,3.6,BK,INJ,X,RP
HDPE,0.938,4.1,BK,INJ,X,RP
HDPE,0.938,4.3,BK,INJ,X,RP
HDPE,0.947,4.3,BK,INJ,X,RP
HDPE,0.954,0.07,MIX,OFF,X,RG
PE/PP,0.975,3.6,MIX,X,X,RG
PE/PP,0.975,2.5,MIX,X,X,RG
PE/PP,0.975,0.59,MIX,X,X,RG
PE/PP,0.975,5.8,MIX,X,X,RG
PE/PP,0.975,1.0,MIX,X,X,RG
PE/PP,0.975,6.1,MIX,X,X,RG
PE/PP,0.975,0.1,MIX,X,X,RG
PE/PP,0.975,0.34,MIX,X,X,RG
PE/PP,0.975,0.29,MIX,X,X,RG
PE/PP,0.975,5.4,MIX,X,X,RG
PE/PP,0.975,4.8,MIX,X,X,RG
PE/PP,0.975,2.1,MIX,X,X,RG
PE/PP,0.975,2.8,MIX,X,X,RG
PE/PP,0.975,3.5,MIX,X,X,RG
PE/PP,0.975,1.1,MIX,X,X,RG
HDPE,0.958,0.09,MIX,EXT,X,RP
LDPE,0.922,0.72,BK,X,X,RP
LDPE,0.92,0.8,BK,X,X,RP
LDPE,0.925,0.65,BK,X,X,RP
LDPE,0.922,0.72,BK,X,1.0,RP
HDPE,0.969,0.49,MIX,EXT,X,RG
LDPE,0.925,12.0,MIX,X,X,RP
LDPE,0.932,9.8,MIX,X,X,RP
LDPE,0.92,11.0,MIX,X,X,RP
LDPE,0.932,10.0,MIX,X,X,RP
HDPE,0.969,6.9,BK,INJ,X,RP
LDPE,0.975,7.6,MIX,X,X,RP
HDPE,0.958,7.4,BK,INJ,X,RP
HMW,0.942,41.0,MIX,EXT,2.0,RG
HMW,0.942,19.0,MIX,EXT,2.0,RG
HMW,0.975,10.0,MIX,EXT,2.0,RG
HDPE,0.947,0.06,MIX,EXT,X,RG
HMW,0.942,6.0,MIX,EXT,L,RG
HDPE,0.949,0.52,MIX,EXT,X,RG
HDPE,0.962,0.44,MIX,EXT,X,RG
HDPE,0.965,0.47,MIX,EXT,X,RG
HDPE,0.952,0.52,MIX,EXT,X,RP
HDPE,0.938,0.58,MIX,EXT,X,RP
HDPE,0.954,0.73,MIX,EXT,X,RP
HDPE,0.965,7.4,BK,INJ,X,RP
PP,0.925,33.0,GREY,X,X,RP
ADDITIFS,0.92,4.0,NAT,OFF,X,RP
ADDITIFS,0.92,3.6,NAT,OFF,X,RP
ADDITIFS,0.92,4.4,NAT,OFF,X,RP
HDPE,0.954,0.57,MIX,EXT,X,RP
HDPE,0.954,0.4,NAT,EXT,X,WS
LDPE,0.946,0.69,WH,X,X,RP
HMW,0.952,11.0,NAT,EXT,X,WS
LDPE,0.932,0.74,WH,X,X,RP
HMW,0.962,11.0,WH,EXT,X,RG
HMW,0.962,12.0,MIX,EXT,X,RG
HMW,0.954,10.0,MIX,EXT,X,RG
HMW,0.949,11.0,MIX,EXT,X,RG
HMW,0.958,9.9,WH,EXT,X,RG
HMW,0.958,11.0,MIX,EXT,X,RG
HDPE,0.965,0.46,MIX,EXT,X,RG
HMW,0.95,10.0,MIX,EXT,X,RG
HMW,0.958,9.3,WH,EXT,X,RG
HMW,0.92,10.0,MIX,EXT,X,RG
HMW,0.954,11.0,MIX,EXT,X,RG
HMW,0.958,8.8,MIX,EXT,X,RG
HMW,0.952,9.9,MIX,EXT,X,RG
HMW,0.965,13.0,MIX,EXT,X,RG
HMW,0.965,11.0,MIX,EXT,X,RG
HDPE,0.954,0.35,NAT,EXT,X,RG
HMW,0.953,11.0,MIX,EXT,X,RG
HMW,0.958,9.8,MIX,EXT,X,RG
LDPE,0.925,1.2,WH,X,X,RP
LDPE,0.925,1.5,WH,X,X,RP
LDPE,0.925,2.6,NAT,X,X,WS
LDPE,0.925,2.1,MIX,X,X,RP
LDPE,0.925,1.9,NAT,X,X,WS
LDPE,0.925,2.3,NAT,X,X,WS
LDPE,0.925,2.5,NAT,X,X,WS
LDPE,0.925,2.4,NAT,X,X,WS
HDPE,0.956,0.46,MIX,EXT,X,RP
LDPE,0.92,2.9,MIX,X,X,RP
LDPE,0.954,12.0,MIX,X,X,RP
LDPE,0.92,2.1,MIX,X,X,RP
LDPE,0.932,4.7,MIX,X,X,RP
LDPE,0.925,4.5,MIX,X,X,RP
LDPE,0.925,7.3,MIX,X,X,RP
LDPE,0.937,7.5,MIX,X,X,RP
LDPE,0.92,1.4,MIX,X,X,RP
LDPE,0.932,6.7,MIX,X,X,RP
LDPE,0.975,1.5,MIX,X,X,RP
LDPE,0.942,1.2,YELI,X,X,RP
LDPE,0.925,11.0,MIX,X,X,RP
LDPE,0.92,2.0,MIX,X,X,RP
LDPE,0.925,5.6,NAT,X,X,RP
LDPE,0.92,1.5,MIX,X,X,RP
LDPE,0.949,0.36,YELI,X,X,RP
LDPE,0.92,2.7,MIX,X,X,RP
LDPE,0.925,3.9,MIX,X,X,RP
HDPE,0.975,0.36,MIX,EXT,X,RP
HDPE,0.975,0.38,MIX,EXT,X,RP
HDPE,0.975,0.42,MIX,EXT,X,RP
HDPE,0.975,0.47,MIX,EXT,X,RP
HDPE,0.975,0.35,MIX,EXT,X,RP
HDPE,0.975,0.32,MIX,EXT,X,RP
HDPE,0.975,0.34,MIX,EXT,X,RP
HDPE,0.973,0.43,MIX,EXT,E,RG
HDPE,0.949,9.3,MIX,INJ,X,RG
HMW,0.965,13.0,BK,EXT,E,RG
LDPE,0.938,0.89,BK,EXT,E,RG
HDPE,0.973,0.4,MIX,EXT,X,RG
HMW,0.956,11.0,MIX,EXT,X,RG
LDPE,0.925,2.3,MIX,X,1.0,RP
