Items,melt,flex,COULEUR,I_CM,I_G,I_F,cendre,I1
PP,30.0,181695.2,BK,HM,1,RP,2.7,0.66
ABS,4.46,260250.0,BK,INJ,1,RP,3.4,3.0
HIPS,5.0,270045.4,BK,X,1,RP,2.9,1.94
HIPS,5.4,274329.0,BK,X,1,RP,3.0,1.0
HIPS,5.9,295178.2,BK,X,1,RP,4.8,1.05
HIPS,5.5,257762.8,BK,X,1,RP,2.6,1.21
PP,23.0,179233.0,BK,HM,1,RP,2.8,1.0
PP,22.88,184619.0,BK,HM,1,RP,2.3,1.0
PP,16.0,190004.1,BK,HM,1,RP,2.0,0.86
PP,20.5,147105.1,BK,HM,1,RP,2.8,1.6
PP,30.0,163057.6,BK,HM,1,RP,2.5,1.5
PP,13.6,240680.7,BK,INJ,1,RP,0.72,0.55
PP,18.05,238772.0,BK,INJ,1,RP,0.8,1.0
PP,14.6,236863.2,BK,INJ,1,RP,0.96,0.63
PP,25.0,233490.7,BK,INJ,1,RP,0.97,0.56
PP,23.0,234047.8,BK,INJ,1,RP,1.75,0.8
PP,22.32,211820.5,BK,INJ,1,RP,0.44,0.61
PP,41.9,179461.1,BK,HM,1,RP,11.2,1.82
PP,37.12,175527.0,BK,HM,1,RP,11.4,2.0
PP,35.7,182503.6,BK,HM,1,RP,10.4,2.1
PP,36.0,173879.7,BK,HM,1,RP,10.0,1.8
PP,38.0,178417.9,BK,HM,1,RP,11.2,2.0
PP,38.0,171285.2,BK,HM,1,RP,1.76,0.65
PP,37.49,169139.0,BK,HM,1,RP,1.9,1.0
PP,39.0,170724.5,BK,HM,1,RP,2.0,0.62
PP,40.0,176037.7,BK,HM,1,RP,2.0,0.64
HIPS,7.1,277199.2,BK,X,1,RP,5.5,1.6
PS,5.3,355603.2,MIX,X,1,RP,0.5,0.99
PS,5.03,367102.0,MIX,X,1,RP,0.5,1.0
PS,5.0,378600.4,MIX,X,1,RP,0.49,0.71
HIPS,5.7,291229.7,BK,X,1,RP,3.4,1.7
-,5.06,302516.0,BK,X,1,RP,3.9,2.0
PPH,41.0,182755.8,BK,HM,1,RP,2.1,0.8
PPH,35.47,177417.0,BK,HM,1,RP,2.4,1.0
PPH,34.0,182517.2,BK,HM,1,RP,3.0,0.91
HIPS,6.5,313757.7,BK,X,1,RP,5.7,1.63
HIPS,6.25,311247.0,BK,X,1,RP,4.9,2.0
HIPS,6.3,318252.6,BK,X,1,RP,5.4,1.64
HIPS,5.7,325669.9,BK,X,1,RP,5.0,1.51
HIPS,5.2,317191.3,BK,X,1,RP,4.2,1.8
HIPS,5.2,311227.9,BK,X,1,RP,5.0,1.79
PP,27.0,181142.5,BK,INJ,1,RP,3.2,1.3
PP,31.0,212016.6,BK,HM,1,RP,5.1,1.0
PP,30.5,209467.0,BK,HM,1,RP,5.1,1.0
HIPS,5.32,354204.6,BK,X,1,RP,4.28,1.68
HIPS,5.15,361864.0,BK,X,1,RP,4.5,2.0
HIPS,4.4,358570.3,BK,X,1,RP,4.4,1.69
HIPS,6.4,379075.0,BK,X,1,RP,5.3,1.23
PPH,34.25,192033.0,BK,HM,1,RP,1.4,1.0
PPH,32.0,178717.1,BK,HM,1,RP,1.2,0.75
ABS,2.76,342668.2,BK,X,S,RP,3.23,3.01
ABS,3.06,344825.0,BK,X,S,RP,2.9,3.0
ABS,2.76,350248.6,BK,X,S,RP,3.1,2.96
ABS,2.8,360691.6,BK,X,S,RP,3.03,3.27
PPH,34.0,165553.1,BK,HM,1,RP,1.85,0.71
PPH,42.84,182345.0,BK,HM,1,RP,1.7,1.0
PPH,58.0,196915.0,BK,HM,1,RP,1.8,0.51
PPH,39.8,184567.6,BK,HM,1,RP,1.6,0.71
PP,22.0,161637.6,BK,INJ,1,RP,3.6,11.3
PP,24.0,160173.6,BK,INJ,1,RP,3.66,12.08
PP,25.8,150921.8,BK,INJ,1,RP,4.0,11.55
PP,23.6,146926.1,BK,INJ,1,RP,3.92,11.3
PP,35.6,177803.1,MIX,INJ,1,RG,3.0,1.35
PPH,32.4,198970.5,BK,HM,1,RP,2.4,0.52
PPH,31.0,205936.1,BK,HM,1,RP,1.9,0.52
PPH,32.0,199840.1,BK,HM,1,RP,1.7,0.51
PP,28.0,176964.4,BK,INJ,1,RP,2.7,1.22
PP,26.0,175770.5,BK,INJ,1,RP,2.22,1.55
PP,22.47,171224.0,BK,INJ,1,RP,2.5,1.0
PP,25.3,176012.5,BK,INJ,1,RP,1.28,1.3
PP,22.68,173802.2,BK,INJ,1,RP,0.97,1.29
